UniProtKB:O95238	SPDEF
UniProtKB:Q14494	NFE2L1
UniProtKB:B4DX44	ZNF736
UniProtKB:Q8NB50	ZFP62
UniProtKB:Q9H3D4	TP63
UniProtKB:Q49A33	ZNF876P
UniProtKB:Q14469	HES1
UniProtKB:O95201	ZNF205
UniProtKB:P22736	NR4A1
UniProtKB:Q8NAP8	ZBTB8B
UniProtKB:Q8NAP3	ZBTB38
UniProtKB:P49910	ZNF165
UniProtKB:Q9NQX1	PRDM5
UniProtKB:Q8NAM6	ZSCAN4
UniProtKB:P12525	MYCLP1
UniProtKB:Q9ULV5	HSF4
UniProtKB:Q8NAF0	ZNF579
UniProtKB:Q9NP62	GCM1
UniProtKB:Q9ULX9	MAFF
UniProtKB:Q6P3V2	ZNF585A
UniProtKB:Q5VZB9	DMRTA1
UniProtKB:B7Z6K7	ZNF814
UniProtKB:Q14593	ZNF273
UniProtKB:Q14592	ZNF460
UniProtKB:P37231	PPARG
UniProtKB:Q14587	ZNF268
UniProtKB:Q14586	ZNF267
UniProtKB:Q14585	ZNF345
UniProtKB:Q14584	ZNF266
UniProtKB:Q14582	MXD4
UniProtKB:Q9UBD0	HSFX1
UniProtKB:Q14549	GBX1
UniProtKB:Q14541	HNF4G
UniProtKB:Q9UBC0	ONECUT1
UniProtKB:Q8NC26	ZNF114
UniProtKB:P84022	SMAD3
UniProtKB:Q14526	HIC1
UniProtKB:P40763	STAT3
UniProtKB:P20265	POU3F2
UniProtKB:Q9UL36	ZNF236
UniProtKB:Q9UKS7	IKZF2
UniProtKB:Q9UL58	ZNF215
UniProtKB:Q9UL68	MYT1L
UniProtKB:Q8NBF1	GLIS1
UniProtKB:Q9H334	FOXP1
UniProtKB:Q9UKW6	ELF5
UniProtKB:Q03181	PPARD
UniProtKB:Q70SY1	CREB3L2
UniProtKB:Q5JVG8	ZNF506
UniProtKB:Q49AA0	ZFP69
UniProtKB:Q8NBB4	ZSCAN1
UniProtKB:P57682	KLF3
UniProtKB:Q96IU2	ZBED3
UniProtKB:Q04206	RELA
UniProtKB:Q9Y4A8	NFE2L3
UniProtKB:P32243	OTX2
UniProtKB:Q9UHL9	GTF2IRD1
UniProtKB:O95948	ONECUT2
UniProtKB:Q8NHW3	MAFA
UniProtKB:O95936	EOMES
UniProtKB:O95935	TBX18
UniProtKB:Q8NHV9	RHOXF1
UniProtKB:O75461	E2F6
UniProtKB:Q9UHF7	TRPS1
UniProtKB:P52744	ZNF138
UniProtKB:Q8NI51	CTCFL
UniProtKB:Q52M93	ZNF585B
UniProtKB:P52747	ZNF143
UniProtKB:P52746	ZNF142
UniProtKB:P52739	ZNF131
UniProtKB:P52738	ZNF140
UniProtKB:P52736	ZNF133
UniProtKB:Q16236	NFE2L2
UniProtKB:Q9Y651	SOX21
UniProtKB:Q04743	EMX2
UniProtKB:Q04741	EMX1
UniProtKB:Q9Y5R6	DMRT1
UniProtKB:Q16254	E2F4
UniProtKB:Q9Y5Q3	MAFB
UniProtKB:Q96DT7	ZBTB10
UniProtKB:P17544	ATF7
UniProtKB:Q9Y5J3	HEY1
UniProtKB:Q14995	NR1D2
UniProtKB:Q14994	NR1I3
UniProtKB:Q0VG99	MESP2
UniProtKB:Q8NFU3	TSTD1
UniProtKB:Q96CX3	ZNF501
UniProtKB:Q6P9G9	ZNF449
UniProtKB:O43365	HOXA3
UniProtKB:O43364	HOXA2
UniProtKB:O43361	ZNF749
UniProtKB:Q14938	NFIX
UniProtKB:Q9UFB7	ZBTB47
UniProtKB:Q14934	NFATC4
UniProtKB:Q14929	ZNF169
UniProtKB:O43345	ZNF208
UniProtKB:Q8NEA6	GLIS3
UniProtKB:Q5TYW1	ZNF658
UniProtKB:Q96BA8	CREB3L1
UniProtKB:Q9Y3M9	ZNF337
UniProtKB:P10276	RARA
UniProtKB:P10275	AR
UniProtKB:Q6EKJ0	GTF2IRD2B
UniProtKB:Q8NDY6	BHLHE23
UniProtKB:Q9UID6	ZNF639
UniProtKB:Q8NDX6	ZNF740
UniProtKB:Q8NDW4	ZNF248
UniProtKB:P10244	MYBL2
UniProtKB:P10242	MYB
UniProtKB:Q14774	HLX
UniProtKB:Q14765	STAT4
UniProtKB:O43186	CRX
UniProtKB:P05549	TFAP2A
UniProtKB:O75030	MITF
UniProtKB:O43167	ZBTB24
UniProtKB:Q8NDP4	ZNF439
UniProtKB:Q9H0M5	ZNF700
UniProtKB:Q9Y2Y9	KLF13
